LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,26-Feb-2020 00:27:54,0                 
Time,Ampl
-9.764605e-006,-1.6025
-9.764355e-006,-1.6025
-9.764105e-006,-1.6025
-9.763855e-006,-1.6025
-9.763605e-006,-1.6025
-9.763355e-006,-1.6025
-9.763105e-006,-1.6025
-9.762855e-006,-1.6025
-9.762605e-006,-1.6025
-9.762355e-006,-1.6025
-9.762105e-006,-1.6025
-9.761855e-006,-1.6025
-9.761605e-006,-1.6025
-9.761355e-006,-1.6025
-9.761105e-006,-1.6025
-9.760855e-006,-1.6025
-9.760605e-006,-1.6025
-9.760355e-006,-1.6025
-9.760105e-006,-1.6025
-9.759855e-006,-1.6025
-9.759605e-006,-1.6025
-9.759355e-006,-1.6025
-9.759105e-006,-1.6025
-9.758855e-006,-1.6025
-9.758605e-006,-1.6025
-9.758355e-006,-1.6025
-9.758105e-006,-1.6025
-9.757855e-006,-1.6025
-9.757605e-006,-1.6025
-9.757355e-006,-1.6025
-9.757105e-006,-1.6025
-9.756855e-006,-1.6025
-9.756605e-006,-1.6025
-9.756355e-006,-1.6025
-9.756105e-006,-1.6025
-9.755855e-006,-1.6025
-9.755605e-006,-1.6025
-9.755355e-006,-1.6025
-9.755105e-006,-1.6025
-9.754855e-006,-1.6025
-9.754605e-006,-1.6025
-9.754355e-006,-1.6025
-9.754105e-006,-1.60583
-9.753855e-006,-1.6025
-9.753605e-006,-1.6025
-9.753355e-006,-1.6025
-9.753105e-006,-1.60583
-9.752855e-006,-1.6025
-9.752605e-006,-1.6025
-9.752355e-006,-1.6025
-9.752105e-006,-1.60583
-9.751855e-006,-1.6025
-9.751605e-006,-1.6025
-9.751355e-006,-1.6025
-9.751105e-006,-1.6025
-9.750855e-006,-1.6025
-9.750605e-006,-1.6025
-9.750355e-006,-1.6025
-9.750105e-006,-1.6025
-9.749855e-006,-1.6025
-9.749605e-006,-1.6025
-9.749355e-006,-1.6025
-9.749105e-006,-1.6025
-9.748855e-006,-1.6025
-9.748605e-006,-1.6025
-9.748355e-006,-1.6025
-9.748105e-006,-1.6025
-9.747855e-006,-1.6025
-9.747605e-006,-1.6025
-9.747355e-006,-1.6025
-9.747105e-006,-1.6025
-9.746855e-006,-1.6025
-9.746605e-006,-1.6025
-9.746355e-006,-1.6025
-9.746105e-006,-1.6025
-9.745855e-006,-1.6025
-9.745605e-006,-1.6025
-9.745355e-006,-1.6025
-9.745105e-006,-1.6025
-9.744855e-006,-1.6025
-9.744605e-006,-1.6025
-9.744355e-006,-1.6025
-9.744105e-006,-1.60583
-9.743855e-006,-1.6025
-9.743605e-006,-1.6025
-9.743355e-006,-1.6025
-9.743105e-006,-1.60583
-9.742855e-006,-1.6025
-9.742605e-006,-1.6025
-9.742355e-006,-1.6025
-9.742105e-006,-1.6025
-9.741855e-006,-1.6025
-9.741605e-006,-1.6025
-9.741355e-006,-1.6025
-9.741105e-006,-1.6025
-9.740855e-006,-1.6025
-9.740605e-006,-1.6025
-9.740355e-006,-1.6025
-9.740105e-006,-1.6025
-9.739855e-006,-1.6025
-9.739605e-006,-1.6025
-9.739355e-006,-1.6025
-9.739105e-006,-1.6025
-9.738855e-006,-1.6025
-9.738605e-006,-1.6025
-9.738355e-006,-1.6025
-9.738105e-006,-1.6025
-9.737855e-006,-1.6025
-9.737605e-006,-1.6025
-9.737355e-006,-1.6025
-9.737105e-006,-1.6025
-9.736855e-006,-1.6025
-9.736605e-006,-1.6025
-9.736355e-006,-1.6025
-9.736105e-006,-1.6025
-9.735855e-006,-1.6025
-9.735605e-006,-1.6025
-9.735355e-006,-1.6025
-9.735105e-006,-1.6025
